"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"dreamfall6","2019-09-29 16:59","0","1","Trumpers can't read. 😀","","","","1178459434701467648","https://twitter.com/dreamfall6/status/1178459434701467648","😀"
"TheHermitInn","2019-09-29 16:59","0","2","You guys are welcome anytime 😀","","","","1178459428623982592","https://twitter.com/TheHermitInn/status/1178459428623982592","😀"
"bobbi_Reno","2019-09-29 16:59","0","1","Love this!! Thank you for sharing😀","","","","1178459409988628482","https://twitter.com/bobbi_Reno/status/1178459409988628482","😀"
"RobRobnliz","2019-09-29 16:59","0","0","It’s prophesy.... there’s no stopping the coming battle between Islam and Christianity... America has to be infiltrated for this to happen.... we know how it ends though..😀 https://twitter.com/Nick_Clamorgan/status/1178445251566067713 …","","","","1178459386315976704","https://twitter.com/RobRobnliz/status/1178459386315976704","😀"
"sengthac","2019-09-29 16:59","0","0","That is only green now 😀","","","","1178459356020363264","https://twitter.com/sengthac/status/1178459356020363264","😀"
"BenWinegard","2019-09-29 16:59","0","5","This is a thing X used to say, therefore it cannot be valid. That's not addressing any actual argument. Also I'm Ben 😀","","","","1178459251372515328","https://twitter.com/BenWinegard/status/1178459251372515328","😀"
"Coolish_Breeze","2019-09-29 16:59","0","1","I like most of their early-ish stuff.    Thank you for creating a safe space where I could say that. 😀","","","","1178459233634967554","https://twitter.com/Coolish_Breeze/status/1178459233634967554","😀"
"ActorsComedy","2019-09-29 16:59","0","1","Season 31!!! Need we say more? 😀  .  DOH!  @TheSimpsons #thesimpsons @FOXTVhttps://twitter.com/TheSimpsons/status/1178293351113723905 …","","@TheSimpsons @FOXTVhttps","#thesimpsons","1178459198545260545","https://twitter.com/ActorsComedy/status/1178459198545260545","😀"
"77dpl","2019-09-29 16:59","0","0","Or Ohio State fans 😀","","","","1178459194862780417","https://twitter.com/77dpl/status/1178459194862780417","😀"
"mz_ilu","2019-09-29 16:58","0","10","DICK everywhere. A faithful boyfriend who can find.🌚🌚","","","","1178459184154775553","https://twitter.com/mz_ilu/status/1178459184154775553","🌚 😀"
"MickeyWinston4","2019-09-29 16:58","0","2","Do you see it? 😀 @SCPatriotSC @Tiff_FitzHenry @AKA_RealDirty @jcpenni7maga @jennajameson @kbq225pic.twitter.com/kiPu55Rj6U","","@SCPatriotSC @Tiff_FitzHenry @AKA_RealDirty @jcpenni7maga @jennajameson @kbq225pic","","1178459142261862400","https://twitter.com/MickeyWinston4/status/1178459142261862400","😀"
"DanaDeeSaravia","2019-09-29 16:58","0","0","YES!! 😀 Can't wait!! 😀😀 #BobsBurgers #Fave #Best #Love #BeenWaitingForThis #AnimationDominationhttps://twitter.com/JohnRobertsFun/status/1178336813267730432 …","","","#BobsBurgers #Fave #Best #Love #BeenWaitingForThis #AnimationDominationhttps","1178459115804397568","https://twitter.com/DanaDeeSaravia/status/1178459115804397568","😀 ♥️ ♥️"
"LELakeZurich","2019-09-29 16:58","0","0","No explanation needed. 😀 @ Learning Express Toys Lake Zurich serving the Chicago NW Suburbs https://www.instagram.com/p/B3A7AN-AInX/?igshid=5y8jk9307jfm …","","@","","1178459093633310721","https://twitter.com/LELakeZurich/status/1178459093633310721","😀"
"DANY_PARKMIN","2019-09-29 16:58","0","0","I was 23 years old 😀","","","","1178459091909464065","https://twitter.com/DANY_PARKMIN/status/1178459091909464065","😀"
"Brisandoval2","2019-09-29 16:58","0","0","Hello 😀 https://www.instagram.com/p/B2dIzP7l4PsAsvNu2IIH-406D_yNHRl9bMjvFg0/?igshid=12l7j1l1xpi5h …","","","","1178459086410670082","https://twitter.com/Brisandoval2/status/1178459086410670082","😀"
"cakito2","2019-09-29 16:58","3","5","This is beautiful dearest Beth. Thank you so much #ShanáTová 🍎🍎🍎🍎🍎","","","#ShanáTová","1178459026385969159","https://twitter.com/cakito2/status/1178459026385969159","🍎 🍯 🙏 😀 🍾"
"Latashio","2019-09-29 16:58","0","1","Tim: 😀    Chef: we working hard today","","","","1178458978285768705","https://twitter.com/Latashio/status/1178458978285768705","😀"
